block_id,image,rectified,vis,class_id,format_len,strategy,angle_est,error
n00001,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00001.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00001_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00001_poly.jpg,86,4,Hough,9.715,
n00002,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00002.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00002_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00002_poly.jpg,86,4,Hough,0.000,
n00005,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00005.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00005_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00005_poly.jpg,86,4,Hough,-5.446,
n00007,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00007.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00007_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00007_poly.jpg,86,4,Hough,0.183,
n00008,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00008.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00008_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00008_poly.jpg,86,4,Hough,-0.438,
n00009,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00009.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00009_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00009_poly.jpg,86,4,Hough,7.882,
n00010,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00010.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00010_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00010_poly.jpg,86,4,Hough,5.911,
n00011,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00011.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00011_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00011_poly.jpg,86,4,Hough,1.969,
n00012,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00012.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00012_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00012_poly.jpg,86,4,Hough,-0.401,
n00013,C:\OCR-PLACAS\treino_carro_final_26_06\carros_17.5k_teste\carros_17.5k_teste\imgs\n00013.jpg,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00013_rectified.png,C:\OCR-PLACAS\yolo-obb-train\gira_placa\outputs\n00013_poly.jpg,86,4,Hough,8.971,
